"name","@type","priceRange","url","streetAddress","addressLocality","addressRegion","postalCode","country","ratingValue","reviewCount","state"
"THE LIVING ROOM","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31350-D7253792-REVIEWS-THE_LIVING_ROOM-SCOTTSDALE_ARIZONA.HTML","20751 N PIMA RD STE 120","SCOTTSDALE","CENTRAL ARIZONA","85255-5591","UNITED STATES",4.0,52,"NY"
"JERRY BOBS FAMILY RESTAURANT","FOODESTABLISHMENT","1","/RESTAURANT_REVIEW-G60950-D4939591-REVIEWS-JERRY_BOBS_FAMILY_RESTAURANT-TUCSON_ARIZONA.HTML","8300 N THORNYDALE RD STE 100","TUCSON","ARIZONA","85741-1167","UNITED STATES",3.5,14,"NY"
"ZINBURGER TUCSON","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G60950-D6480535-REVIEWS-ZINBURGER_TUCSON-TUCSON_ARIZONA.HTML","1865 E RIVER RD STE 101","TUCSON","ARIZONA","85718-7636","UNITED STATES",4.5,92,"NY"
"NATIVE GRILL & WINGS - PEBBLE CREEK","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31234-D7316824-REVIEWS-NATIVE_GRILL_WINGS_PEBBLE_CREEK-GOODYEAR_ARIZONA.HTML","15375 W MCDOWELL RD","GOODYEAR","ARIZONA","85395-2524","UNITED STATES",3.5,31,"NY"
"GIANT HAMBURGERS","FOODESTABLISHMENT","1","/RESTAURANT_REVIEW-G31281-D4633316-REVIEWS-GIANT_HAMBURGERS-MESA_ARIZONA.HTML","2753 E BROADWAY RD STE 104","MESA","CENTRAL ARIZONA","85204-1579","UNITED STATES",4.0,22,"NY"
"ELOTE CAFE","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31352-D670560-REVIEWS-ELOTE_CAFE-SEDONA_ARIZONA.HTML","771 STATE ROUTE 179 ARABELLA HOTEL","SEDONA","ARIZONA","86336-6209","UNITED STATES",4.5,4078,"NY"
"WINK 24","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31310-D10465763-REVIEWS-WINK_24-PHOENIX_ARIZONA.HTML","2502 E CAMELBACK RD","PHOENIX","CENTRAL ARIZONA","85016-4254","UNITED STATES",4.5,22,"NY"
"PEI WEI ASIAN DINER","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31190-D334392-REVIEWS-PEI_WEI_ASIAN_DINER-CHANDLER_ARIZONA.HTML","7131 W RAY RD","CHANDLER","CENTRAL ARIZONA","85226-1520","UNITED STATES",4.0,75,"NY"
"SOUL CAFE","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31350-D3315299-REVIEWS-SOUL_CAFE-SCOTTSDALE_ARIZONA.HTML","7615 E PINNACLE PEAK RD","SCOTTSDALE","CENTRAL ARIZONA","85255-6178","UNITED STATES",4.0,190,"NY"
"PARADISE BAKERY AND CAFE","FOODESTABLISHMENT","1","/RESTAURANT_REVIEW-G31310-D4627408-REVIEWS-PARADISE_BAKERY_AND_CAFE-PHOENIX_ARIZONA.HTML","10625 N TATUM BLVD STE 135","PHOENIX","CENTRAL ARIZONA","85028-3062","UNITED STATES",4.0,34,"NY"
"ASIAN ISLAND","FOODESTABLISHMENT","1","/RESTAURANT_REVIEW-G31350-D4312367-REVIEWS-ASIAN_ISLAND-SCOTTSDALE_ARIZONA.HTML","14870 N NORTHSIGHT BLVD","SCOTTSDALE","CENTRAL ARIZONA","85260-2625","UNITED STATES",4.0,5,"NY"
"CAFE ALLEGRO","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31310-D2401267-REVIEWS-CAFE_ALLEGRO-PHOENIX_ARIZONA.HTML","4725 E MAYO BLVD","PHOENIX","CENTRAL ARIZONA","85050-6920","UNITED STATES",4.5,103,"NY"
"BERNARDS AT OCOTILLO","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31190-D5240711-REVIEWS-BERNARDS_AT_OCOTILLO-CHANDLER_ARIZONA.HTML","3751 S CLUBHOUSE DR","CHANDLER","CENTRAL ARIZONA","85248-4200","UNITED STATES",4.0,17,"NY"
"CINNABON","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31310-D875208-REVIEWS-CINNABON-PHOENIX_ARIZONA.HTML","7611 W THOMAS RD","PHOENIX","CENTRAL ARIZONA","85033-5439","UNITED STATES",4.5,2,"NY"
"CHEZ VOUS","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31350-D1799397-REVIEWS-CHEZ_VOUS-SCOTTSDALE_ARIZONA.HTML","8787 N SCOTTSDALE RD SUITE 228","SCOTTSDALE","CENTRAL ARIZONA","85253-2325","UNITED STATES",4.5,107,"NY"
"BABY KAY'S CAJUN KITCHEN","FOODESTABLISHMENT","3 - 4","/RESTAURANT_REVIEW-G31281-D6885334-REVIEWS-BABY_KAY_S_CAJUN_KITCHEN-MESA_ARIZONA.HTML","2051 S DOBSON RD","MESA","CENTRAL ARIZONA","85202-6480","UNITED STATES",4.5,59,"NY"
"YOGURTINI","FOODESTABLISHMENT","1","/RESTAURANT_REVIEW-G31310-D5065085-REVIEWS-YOGURTINI-PHOENIX_ARIZONA.HTML","475 E BELL RD STE 170","PHOENIX","CENTRAL ARIZONA","85022-2348","UNITED STATES",4.5,10,"NY"
"VINEYARD RISTORANTE","FOODESTABLISHMENT","4","/RESTAURANT_REVIEW-G45964-D3256296-REVIEWS-VINEYARD_RISTORANTE-LAUGHLIN_NEVADA.HTML","1900 S CASINO DR","LAUGHLIN","NEVADA","89029-1513","UNITED STATES",4.0,124,"NY"
